period,period_date,year,quarter,tradeables_index,tradeables_qoq_pct,tradeables_yoy_pct,nontradeables_index,nontradeables_qoq_pct,nontradeables_yoy_pct,allgroups_index,allgroups_qoq_pct,allgroups_yoy_pct
Mar-18,2018-03-31,2018,Mar,999.0,0.0,-0.3,1021.0,0.9,2.3,1011.0,0.5,1.1
Jun-18,2018-06-30,2018,Jun,1003.0,0.4,0.3,1024.0,0.3,2.4,1015.0,0.4,1.5
Sep-18,2018-09-30,2018,Sep,1012.0,0.9,1.0,1032.0,0.8,2.5,1024.0,0.9,1.9
Dec-18,2018-12-31,2018,Dec,1008.0,-0.4,0.9,1039.0,0.7,2.7,1025.0,0.1,1.9
Mar-19,2019-03-31,2019,Mar,995.0,-1.3,-0.4,1050.0,1.1,2.8,1026.0,0.1,1.5
Jun-19,2019-06-30,2019,Jun,1004.0,0.9,0.1,1053.0,0.3,2.8,1032.0,0.6,1.7
Sep-19,2019-09-30,2019,Sep,1005.0,0.1,-0.7,1065.0,1.1,3.2,1039.0,0.7,1.5
Dec-19,2019-12-31,2019,Dec,1009.0,0.4,0.1,1071.0,0.6,3.1,1044.0,0.5,1.9
Mar-20,2020-03-31,2020,Mar,1010.0,0.1,1.5,1086.0,1.4,3.4,1052.0,0.8,2.5
Jun-20,2020-06-30,2020,Jun,998.0,-1.2,-0.6,1086.0,0.0,3.1,1047.0,-0.5,1.5
Sep-20,2020-09-30,2020,Sep,1004.0,0.6,-0.1,1093.0,0.6,2.6,1054.0,0.7,1.4
Dec-20,2020-12-31,2020,Dec,1006.0,0.2,-0.3,1101.0,0.7,2.8,1059.0,0.5,1.4
Mar-21,2021-03-31,2021,Mar,1015.0,0.9,0.5,1109.0,0.7,2.1,1068.0,0.8,1.5
Jun-21,2021-06-30,2021,Jun,1032.0,1.7,3.4,1122.0,1.2,3.3,1082.0,1.3,3.3
Sep-21,2021-09-30,2021,Sep,1061.0,2.8,5.7,1142.0,1.8,4.5,1106.0,2.2,4.9
Dec-21,2021-12-31,2021,Dec,1075.0,1.3,6.9,1159.0,1.5,5.3,1122.0,1.4,5.9
Mar-22,2022-03-31,2022,Mar,1101.0,2.4,8.5,1176.0,1.5,6.0,1142.0,1.8,6.9
Jun-22,2022-06-30,2022,Jun,1122.0,1.9,8.7,1193.0,1.4,6.3,1161.0,1.7,7.3
Sep-22,2022-09-30,2022,Sep,1147.0,2.2,8.1,1217.0,2.0,6.6,1186.0,2.2,7.2
Dec-22,2022-12-31,2022,Dec,1163.0,1.4,8.2,1235.0,1.5,6.6,1203.0,1.4,7.2
Mar-23,2023-03-31,2023,Mar,1171.0,0.7,6.4,1256.0,1.7,6.8,1218.0,1.2,6.7
Jun-23,2023-06-30,2023,Jun,1180.0,0.8,5.2,1272.0,1.3,6.6,1231.0,1.1,6.0
Sep-23,2023-09-30,2023,Sep,1201.0,1.8,4.7,1294.0,1.7,6.3,1253.0,1.8,5.6
Dec-23,2023-12-31,2023,Dec,1198.0,-0.2,3.0,1308.0,1.1,5.9,1259.0,0.5,4.7
Mar-24,2024-03-31,2024,Mar,1190.0,-0.7,1.6,1329.0,1.6,5.8,1267.0,0.6,4.0
Jun-24,2024-06-30,2024,Jun,1184.0,-0.5,0.3,1341.0,0.9,5.4,1272.0,0.4,3.3
Sep-24,2024-09-30,2024,Sep,1182.0,-0.2,-1.6,1358.0,1.3,4.9,1280.0,0.6,2.2
Dec-24,2024-12-31,2024,Dec,1185.0,0.3,-1.1,1367.0,0.7,4.5,1287.0,0.5,2.2
Mar-25,2025-03-31,2025,Mar,1194.0,0.8,0.3,1382.0,1.1,4.0,1299.0,0.9,2.5
Jun-25,2025-06-30,2025,Jun,1198.0,0.3,1.2,1391.0,0.7,3.7,1306.0,0.5,2.7
Sep-25,2025-09-30,2025,Sep,1208.0,0.8,2.2,1406.0,1.1,3.5,1319.0,1.0,3.0
Dec-25,2025-12-31,2025,Dec,1216.0,0.7,2.6,1415.0,0.6,3.5,1327.0,0.6,3.1
Mar-26,2026-03-31,2026,Mar,1224.0,0.7,2.5,1430.0,1.1,3.5,1339.0,0.9,3.1
