period,period_date,group_name,series_ref,index_value,qoq_pct_change,yoy_pct_change
Mar-25,2025-03-31,Accommodation services,SE9096,1754.0,2.1,-0.3
Jun-25,2025-06-30,Accommodation services,SE9096,1770.0,0.9,5.3
Sep-25,2025-09-30,Accommodation services,SE9096,1777.0,0.4,6.9
Dec-25,2025-12-31,Accommodation services,SE9096,1838.0,3.4,7.0
Mar-26,2026-03-31,Accommodation services,SE9096,1803.0,-1.9,2.8
Mar-25,2025-03-31,Actual rentals for housing,SE9041,1305.0,0.7,3.7
Jun-25,2025-06-30,Actual rentals for housing,SE9041,1315.0,0.8,3.2
Sep-25,2025-09-30,Actual rentals for housing,SE9041,1319.0,0.3,2.6
Dec-25,2025-12-31,Actual rentals for housing,SE9041,1321.0,0.2,1.9
Mar-26,2026-03-31,Actual rentals for housing,SE9041,1321.0,0.0,1.2
Mar-25,2025-03-31,Alcoholic beverages,SE9021,1247.0,0.8,2.8
Jun-25,2025-06-30,Alcoholic beverages,SE9021,1241.0,-0.5,0.8
Sep-25,2025-09-30,Alcoholic beverages,SE9021,1250.0,0.7,0.7
Dec-25,2025-12-31,Alcoholic beverages,SE9021,1241.0,-0.7,0.3
Mar-26,2026-03-31,Alcoholic beverages,SE9021,1252.0,0.9,0.4
Mar-25,2025-03-31,Alcoholic beverages and tobacco group,SE902,1440.0,1.8,3.4
Jun-25,2025-06-30,Alcoholic beverages and tobacco group,SE902,1437.0,-0.2,2.4
Sep-25,2025-09-30,Alcoholic beverages and tobacco group,SE902,1444.0,0.5,2.3
Dec-25,2025-12-31,Alcoholic beverages and tobacco group,SE902,1444.0,0.0,2.1
Mar-26,2026-03-31,Alcoholic beverages and tobacco group,SE902,1473.0,2.0,2.3
Mar-25,2025-03-31,All groups,SE9A,1299.0,0.9,2.5
Jun-25,2025-06-30,All groups,SE9A,1306.0,0.5,2.7
Sep-25,2025-09-30,All groups,SE9A,1319.0,1.0,3.0
Dec-25,2025-12-31,All groups,SE9A,1327.0,0.6,3.1
Mar-26,2026-03-31,All groups,SE9A,1339.0,0.9,3.1
Mar-25,2025-03-31,Audio-visual and computing equipment,SE9091,504.0,-6.7,-5.4
Jun-25,2025-06-30,Audio-visual and computing equipment,SE9091,440.0,-12.7,-11.1
Sep-25,2025-09-30,Audio-visual and computing equipment,SE9091,450.0,2.3,-12.5
Dec-25,2025-12-31,Audio-visual and computing equipment,SE9091,488.0,8.4,-9.6
Mar-26,2026-03-31,Audio-visual and computing equipment,SE9091,448.0,-8.2,-11.1
Mar-25,2025-03-31,Cigarettes and tobacco,SE9022,1779.0,3.9,5.0
Jun-25,2025-06-30,Cigarettes and tobacco,SE9022,1783.0,0.2,5.3
Sep-25,2025-09-30,Cigarettes and tobacco,SE9022,1783.0,0.0,4.9
Dec-25,2025-12-31,Cigarettes and tobacco,SE9022,1811.0,1.6,5.8
Mar-26,2026-03-31,Cigarettes and tobacco,SE9022,1882.0,3.9,5.8
Mar-25,2025-03-31,Clothing,SE9031,1061.0,-0.2,-1.8
Jun-25,2025-06-30,Clothing,SE9031,1069.0,0.8,-0.7
Sep-25,2025-09-30,Clothing,SE9031,1071.0,0.2,-0.4
Dec-25,2025-12-31,Clothing,SE9031,1083.0,1.1,1.9
Mar-26,2026-03-31,Clothing,SE9031,1079.0,-0.4,1.7
Mar-25,2025-03-31,Clothing and footwear group,SE903,1069.0,0.2,-0.7
Jun-25,2025-06-30,Clothing and footwear group,SE903,1070.0,0.1,-0.8
Sep-25,2025-09-30,Clothing and footwear group,SE903,1076.0,0.6,0.0
Dec-25,2025-12-31,Clothing and footwear group,SE903,1085.0,0.8,1.7
Mar-26,2026-03-31,Clothing and footwear group,SE903,1083.0,-0.2,1.3
Mar-25,2025-03-31,Communication group,SE908,925.0,0.3,3.0
Jun-25,2025-06-30,Communication group,SE908,923.0,-0.2,1.4
Sep-25,2025-09-30,Communication group,SE908,928.0,0.5,2.5
Dec-25,2025-12-31,Communication group,SE908,966.0,4.1,4.8
Mar-26,2026-03-31,Communication group,SE908,968.0,0.2,4.6
Mar-25,2025-03-31,Credit services,SE9115,744.0,0.0,-4.1
Jun-25,2025-06-30,Credit services,SE9115,739.0,-0.7,-4.8
Sep-25,2025-09-30,Credit services,SE9115,739.0,0.0,-2.0
Dec-25,2025-12-31,Credit services,SE9115,739.0,0.0,-0.7
Mar-26,2026-03-31,Credit services,SE9115,737.0,-0.3,-0.9
Mar-25,2025-03-31,Early childhood education,SE9101,920.0,0.0,-22.8
Jun-25,2025-06-30,Early childhood education,SE9101,920.0,0.0,-22.8
Sep-25,2025-09-30,Early childhood education,SE9101,943.0,2.5,2.5
Dec-25,2025-12-31,Early childhood education,SE9101,943.0,0.0,2.5
Mar-26,2026-03-31,Early childhood education,SE9101,943.0,0.0,2.5
Mar-25,2025-03-31,Education group,SE910,1126.0,8.9,0.6
Jun-25,2025-06-30,Education group,SE910,1126.0,0.0,0.6
Sep-25,2025-09-30,Education group,SE910,1133.0,0.6,9.6
Dec-25,2025-12-31,Education group,SE910,1133.0,0.0,9.6
Mar-26,2026-03-31,Education group,SE910,1171.0,3.4,4.0
Mar-25,2025-03-31,Food group,SE901,1320.0,1.8,2.6
