period,period_date,year,quarter,region,cpi_index,qoq_pct_change,yoy_pct_change
Mar-25,2025-03-31,2025,Mar,Auckland,1282.0,0.9,1.9
Jun-25,2025-06-30,2025,Jun,Auckland,1288.0,0.5,2.0
Sep-25,2025-09-30,2025,Sep,Auckland,1297.0,0.7,2.4
Dec-25,2025-12-31,2025,Dec,Auckland,1303.0,0.5,2.6
Mar-26,2026-03-31,2026,Mar,Auckland,1316.0,1.0,2.7
Mar-25,2025-03-31,2025,Mar,Canterbury,1279.0,0.9,2.4
Jun-25,2025-06-30,2025,Jun,Canterbury,1283.0,0.3,2.6
Sep-25,2025-09-30,2025,Sep,Canterbury,1298.0,1.2,3.3
Dec-25,2025-12-31,2025,Dec,Canterbury,1307.0,0.7,3.2
Mar-26,2026-03-31,2026,Mar,Canterbury,1319.0,0.9,3.1
Mar-25,2025-03-31,2025,Mar,New Zealand,1299.0,0.9,2.5
Jun-25,2025-06-30,2025,Jun,New Zealand,1306.0,0.5,2.7
Sep-25,2025-09-30,2025,Sep,New Zealand,1319.0,1.0,3.0
Dec-25,2025-12-31,2025,Dec,New Zealand,1327.0,0.6,3.1
Mar-26,2026-03-31,2026,Mar,New Zealand,1339.0,0.9,3.1
Mar-25,2025-03-31,2025,Mar,North Island,1302.0,0.9,2.5
Jun-25,2025-06-30,2025,Jun,North Island,1309.0,0.5,2.7
Sep-25,2025-09-30,2025,Sep,North Island,1320.0,0.8,2.8
Dec-25,2025-12-31,2025,Dec,North Island,1328.0,0.6,2.9
Mar-26,2026-03-31,2026,Mar,North Island,1341.0,1.0,3.0
Mar-25,2025-03-31,2025,Mar,Rest of North Island,1334.0,1.0,3.0
Jun-25,2025-06-30,2025,Jun,Rest of North Island,1343.0,0.7,3.4
Sep-25,2025-09-30,2025,Sep,Rest of North Island,1358.0,1.1,3.4
Dec-25,2025-12-31,2025,Dec,Rest of North Island,1368.0,0.7,3.6
Mar-26,2026-03-31,2026,Mar,Rest of North Island,1380.0,0.9,3.4
Mar-25,2025-03-31,2025,Mar,Rest of South Island,1320.0,1.1,2.8
Jun-25,2025-06-30,2025,Jun,Rest of South Island,1332.0,0.9,3.6
Sep-25,2025-09-30,2025,Sep,Rest of South Island,1348.0,1.2,4.0
Dec-25,2025-12-31,2025,Dec,Rest of South Island,1358.0,0.7,4.0
Mar-26,2026-03-31,2026,Mar,Rest of South Island,1371.0,1.0,3.9
Mar-25,2025-03-31,2025,Mar,South Island,1297.0,1.0,2.6
Jun-25,2025-06-30,2025,Jun,South Island,1304.0,0.5,3.0
Sep-25,2025-09-30,2025,Sep,South Island,1320.0,1.2,3.6
Dec-25,2025-12-31,2025,Dec,South Island,1330.0,0.8,3.6
Mar-26,2026-03-31,2026,Mar,South Island,1341.0,0.8,3.4
Mar-25,2025-03-31,2025,Mar,Wellington,1282.0,0.8,2.8
Jun-25,2025-06-30,2025,Jun,Wellington,1286.0,0.3,2.5
Sep-25,2025-09-30,2025,Sep,Wellington,1297.0,0.9,2.4
Dec-25,2025-12-31,2025,Dec,Wellington,1308.0,0.8,2.8
Mar-26,2026-03-31,2026,Mar,Wellington,1318.0,0.8,2.8
